,width,depth,velocity,d50,d84,slope,discharge,river_class,bankfull,source,DOI,primary_source,site_id,notes,area,sed_discharge,d90,bedload_discharge,erosion_rate
0,12.9,0.5,3.4,0.095,0.155,0.026000000000000002,62.2,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
1,0.67,0.05,0.13,0.05,0.09,0.166,0.01,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
2,0.74,0.05,0.12,0.03,0.09,0.14300000000000002,0.01,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
3,51.0,0.41,0.39,0.058,0.1276,0.0018,18.0,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
4,37.0,0.44,2.07,0.037,0.0814,0.0059,73.0,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
5,14.6,0.63,0.75,0.0013,0.013,0.0007,14.8,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
6,10.75,0.1,0.13,0.18,0.42,0.035,0.249,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Reid & Hickin,Liumchen Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
7,14.6,1.02,0.91,0.0013,0.013,0.0007,23.6,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
8,14.6,0.99,0.9,0.0013,0.013,0.0007,22.4,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
9,32.0,1.73,2.08,0.005,0.011,0.001,196.0,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
