,width,depth,slope,discharge,bankfull,source,site_id
0,12.9,0.5,0.026,62.2,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
3,51.0,0.41,0.0018,18.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
4,37.0,0.44,0.0059,73.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
5,14.6,0.63,0.0007,14.8,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
7,14.6,1.02,0.0007,23.6,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
8,14.6,0.99,0.0007,22.4,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
9,32.0,1.73,0.001,196.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
10,14.6,0.93,0.0007,20.1,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
11,14.6,0.94,0.0007,20.5,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
12,14.6,0.94,0.0007,20.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
13,14.6,0.89,0.0007,18.6,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
14,14.6,0.84,0.0007,16.8,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
15,14.6,0.85,0.0007,17.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
16,14.6,0.86,0.0007,17.3,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
17,5.0,0.8,0.06,19.6,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
18,14.6,0.81,0.0007,15.8,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
19,14.6,0.76,0.0007,14.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
20,14.6,0.78,0.0007,14.6,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
21,14.6,0.78,0.0007,14.6,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
22,7.4,0.7,0.07,21.1,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
23,59.7,2.06,0.001,213.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
24,64.0,1.17,0.00088,145.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
25,14.6,0.61,0.0007,9.68,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
26,14.6,0.61,0.0007,9.77,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
27,14.6,0.61,0.0007,9.58,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
28,14.6,0.6,0.0007,9.35,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
29,14.6,0.55,0.0007,8.08,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
30,14.6,0.55,0.0007,7.99,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
32,299.0,2.16,0.00069,1121.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
33,14.6,0.49,0.0007,6.7,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
34,14.6,0.49,0.0007,6.62,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
35,14.6,0.47,0.0007,6.21,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
36,3.6,0.3,0.05,1.5,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
37,57.0,0.88,0.0042,164.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
38,14.6,0.46,0.0007,5.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
40,29.0,1.43,0.0008,79.3,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
44,14.6,0.39,0.0007,4.49,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
45,11.5,1.1,0.05,50.6,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
48,14.6,0.37,0.0007,3.97,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
49,5.8,0.4,0.05,9.1,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
50,3.5,0.5,0.19,3.2,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
52,14.6,0.4,0.0007,4.54,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
55,2.6,0.3,0.046,1.9,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
59,14.6,0.34,0.0007,3.43,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
60,23.0,0.6,0.15,48.5,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
63,23.5,1.1,0.045,47.5,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
64,18.5,1.2,0.24,43.3,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
67,2.0,0.27,0.0369,1.51,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
69,11.4,0.9,0.15,22.4,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
70,14.6,0.29,0.0007,2.67,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
72,14.6,0.3,0.0007,2.79,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
76,14.7,1.3,0.05,43.2,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
78,13.0,1.4,0.1,49.4,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
79,26.3,0.7,0.17,47.7,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
80,7.2,0.4,0.016,7.8,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
81,2.0,0.2,0.026,0.7,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
83,14.6,0.25,0.0007,2.08,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
85,16.7,1.3,0.2,47.9,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
86,6.0,0.24,0.011,0.7,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
88,2.7,0.5,0.02,2.8,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
89,38.0,1.7,0.0289999999999999,178.5,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
90,11.8,0.6,0.14,14.6,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
92,2.2,0.4,0.08,1.3,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
95,7.0,0.24,0.0279999999999999,0.45,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
96,6.0,0.3,0.0038,0.82,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
97,3.6,0.5,0.04,5.0,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
100,14.4,0.7,0.05,32.3,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
102,61.4,2.79,0.00218,453.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
103,6.0,0.3,0.026,3.4,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
104,7.8,0.9,0.054,27.4,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
106,4.0,0.41,0.0237,6.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
109,14.6,0.91,0.0007,13.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
110,2.0,0.37,0.0755,1.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
111,18.0,0.37,0.0018,3.06,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
112,28.0,0.39,0.0038,7.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
115,68.0,1.23,0.0017,163.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
116,200.0,2.22,0.00056,416.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
117,8.0,0.49,0.0206,4.5,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
120,10.3,0.5,0.17,7.1,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
121,6.0,0.39,0.01,3.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
123,7.0,0.44,0.0416,7.5,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
124,13.0,0.66,0.0042,10.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
125,2.0,0.04,0.032,0.06,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
126,4.0,0.52,0.0307,3.51,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
128,5.0,0.65,0.0023,2.7,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
135,20.0,1.29,0.0028,40.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
137,59.0,0.54,0.0019,19.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
140,3.0,0.27,0.019,0.94,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
141,62.0,1.2,0.0019,101.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
142,71.0,2.5,0.0012,278.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
144,89.0,0.82,0.0012,51.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
148,80.0,1.18,0.00094,56.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
152,10.0,0.38,0.035,2.41,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
153,5.0,0.31,0.0061,1.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
158,13.0,0.27,0.024,2.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
163,24.0,0.76,0.004,28.3,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
165,10.0,0.48,0.0023,6.7,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
173,5.6,0.6,0.047,9.0,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
175,18.0,1.36,0.0057,58.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
182,13.0,0.76,0.0143,31.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
189,9.5,0.42,0.016,5.37,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
191,67.0,2.1,0.0012,159.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
195,7.0,0.34,0.011,2.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
201,49.0,1.09,0.0057,165.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
204,24.0,0.58,0.019,20.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
206,30.0,1.15,0.0032,57.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
207,18.0,0.34,0.006,6.28,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
210,14.6,0.97,0.0007,13.8,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
211,17.0,0.74,0.0037,24.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
217,91.0,1.03,0.002,99.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
221,126.0,1.7,0.0018,439.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
222,41.0,1.67,0.0036,141.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
225,69.0,1.79,0.0012,234.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
229,33.1,0.45,0.0039,18.3,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
232,50.0,0.57,0.0016,14.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
233,6.0,0.38,0.0035,1.4,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
241,22.0,1.0,0.0014,18.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
247,3.5,0.26,0.004,0.4,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
248,18.0,0.2019999999999999,0.008,1.1,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
250,14.6,0.24,0.0007,2.04,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
254,14.6,0.165,0.0174,0.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
255,6.0,0.49,0.035,6.3,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
256,35.7,1.9,0.003,193.8,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
261,27.0,0.94,0.0008,29.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
263,30.0,0.94,0.0024,42.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
264,101.0,1.37,0.002,175.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
