Avulsion Name,source,geometry,num_icesat_measurements,num_fabdem_measurements,method_used,dist_mtn_front_to_avulsion_m,total_transport_distance_m,normalized_distance,geomorphology,sar1,sar2,sar3,sar_mean,sar1_distance_m,sar2_distance_m,sar3_distance_m,sm1,sm2,sm3,are1_m,fpe1_m,wse1_m,are2_m,fpe2_m,wse2_m,are3_m,fpe3_m,wse3_m,width_m,discharge_min_cms,discharge_mean_cms,discharge_max_cms,se_1,se_2,se_3,se_std,sm_mean,gamma,spr,gamma_error_upper,gamma_error_lower,corrected_discharge,xgb_depth,har1_m,har2_m,har3_m,a,b,a1,b1,a2,b2,a3,b3,a_over_b,beta,beta_sem,lambda,ab_flag,beta_uncertainty,sar_mean_error,sm_mean_error,log_gamma,log_sar_mean_SE,log_sm_mean_SE,log_gamma_error,yerr_upper_relative,yerr_lower_relative,se_max1,se_max2,se_max3
A002,edmonds et. al. 2016,POINT (-73.76116 4.04425),0,3,3,1200,1787150.0,0.00067146,Fan,0.018,0.0018,0.001,0.0123333333333333,500.00000000000006,6666.666666666667,12000.0,0.00813,0.00791,0.00821,519.0,510.0,511.0,515.0,503.0,507.0,512.0,500.0,504.0,700.0,47.718,146.909,240.381,1.102763033894126,1.470350711858834,1.470350711858834,0.2122268448237139,0.0080833333333333,1.5257731958762888,0.0830672164948453,0.8651452846671861,0.5520955635358601,1199.0266303195951,0.16131818,9.0,12.0,12.0,8.0,0.16131818,8.0,0.16131818,8.0,0.16131818,8.0,0.16131818,49.59143386034207,1.35159003494054,0.040843075329412,2.0564698959675103,True,0.19028303344099215,0.005538150513584,8.969082698049136e-05,0.4225012952607327,0.449039230831138,0.0110957724099576,0.4491762983404107,0.5670208960318719,0.5520955635358601,1.102763033894126,1.4703507118588344,1.4703507118588344
A004,edmonds et. al. 2016,POINT (-73.394282 3.976931),1,2,3,42892,1792545.0,0.023927991,Fan,0.002,0.00055,0.00102,0.0016733333333333,1900.0000000000057,15454.545454545454,6078.431372549008,0.005,0.00315,0.00392,306.6,302.8,304.4,275.5,267.0,273.5,266.2,260.0,264.2,850.0,56.0,188.5,318.0,0.3870967740074741,0.5161290320099776,0.838709677016209,1.199183208838911,0.0040233333333333,0.4159072079536039,5.947305136702568,0.1388062905619808,0.1040727094410309,1624.9920215251657,0.1,3.8000000000000114,8.5,6.199999999999989,2.066666666666682,0.1,2.200000000000045,0.1,2.0,0.1,2.0,0.1,20.66666635870949,3.025652432140416,0.2307829161436081,1.1995004974639614,True,1.2622450331477086,0.0004271221527073,0.0005365424286836,-0.8772931014058027,0.255252282494413,0.1333576873281713,0.287989583992418,0.3337434117695435,0.1040727094410309,1.652173911973046,4.047619044746941,2.952380950285999
A012,edmonds et. al. 2016,POINT (-72.03524 7.49524),2,1,1,458588,1448956.0,0.316495463,Alluvial Plain,0.005,0.006,0.00885,0.0062833333333333,459.9999999999994,598.3333333333339,225.9887005649709,0.00026,0.00047,0.00018,56.8,54.5,54.2,67.29,63.7,65.69,65.6,63.6,63.0,130.0,297.4,631.1,915.058,0.21049252142608,0.1555814288801465,0.1830369751531126,0.0773155202898876,0.0003033333333333,20.71428571428571,1043.391636263736,8.361003948929156,5.956680970766291,5122.891522564735,10.926754,2.299999999999997,3.5900000000000034,1.999999999999993,2.2666666666666657,10.926754,2.5999999999999943,10.926754,1.6000000000000083,10.926754,2.5999999999999943,10.926754,0.2074419051735282,0.24088873296788543,0.0148793788173008,4.985796462474262,False,0.0677731075549994,0.0011533766851197,8.647414514048565e-05,3.0308235933652607,0.1835612761463762,0.2850795993642384,0.3390650676111605,0.40363467339658,5.956680970766291,0.21049252142608,0.3285513703998386,0.1830369751531126
A018,edmonds et. al. 2016,POINT (-73.834088 3.761262),0,3,2,9827,2261252.155,0.004345822,Fan,0.007,0.006,0.00215,0.0053833333333333,285.7142857142857,333.3333333333333,1395.3488372093022,0.01,0.01034,0.01121,528.0,526.0,526.0,534.0,532.0,532.0,524.0,521.0,522.0,300.0,17.0,56.0,97.0,1.0,1.0,1.5,0.2886751345948129,0.0105166666666666,0.5118858954041204,0.4132318858954041,0.1632177159209465,0.123757072630707,447.36536374713313,1.4197252,2.0,2.0,3.0,2.0,1.4197251,2.0,1.4197252,2.0,1.4197252,2.0,1.4197252,1.408723460405657,1.1739255734264147,0.0555555555555555,0.5972002113048073,True,0.2744607948533647,0.001478456402243,0.000360293090568,-0.6696535393185563,0.2746358641937472,0.0342592479145575,0.2767644376886552,0.3188556617526851,0.123757072630707,1.0,1.0,1.5
AFR0211_1998,brooke et. al. 2022,POINT (13.4899897969271 -12.4504207595308),2,1,1,7304,9426.0,0.774877997,Delta,0.0033,0.00452,0.00119,0.0025966666666666,727.2727272727268,530.9734513274334,1100.8403361344533,0.00118,0.00131,0.0011,28.5,26.1,25.75,28.4,26.0,25.75,7.04,5.73,4.39,72.0,25.24,215.65,611.0,0.2551417264399021,0.2186929083770588,0.0637854316099755,0.0573441776576163,0.0011966666666666,2.1699164345403896,647.5303596100277,0.9969580196397064,0.6831074684718181,3303.383965128915,10.974293,2.3999999999999986,2.3999999999999986,1.3099999999999996,2.683333333333333,10.974293,2.75,10.974293,2.6499999999999986,10.974293,2.6500000000000004,10.974293,0.2445108211715727,0.1857526017818903,0.0110358921356941,0.402704444859642,False,0.052303855199200375,0.0009726652958637,6.119186583561936e-05,0.7746886573824696,0.3745822705508786,0.0511352639294869,0.3780564675127115,0.4594453517980163,0.6831074684718181,0.2186929083770587,0.2186929083770587,0.1193698791558112
ANGO2_2003,brooke et. al. 2022,POINT (13.078039097642 -12.8841118948639),0,3,3,12690,30020.0,0.422718188,Delta,0.0033,0.0024,0.0017,0.0027666666666666,896.9696969696972,1266.666666666668,1870.5882352941176,0.0042,0.00163,0.00212,30.45,27.49,28.3,34.74,31.7,32.5,31.98,28.8,30.0,395.0,14.0,106.0,415.0,1.006359372324993,0.9024748919193196,1.021158774859183,0.0694758209282625,0.00265,1.0440251572327044,159.51629735849056,0.424485189473015,0.3017841976235849,2169.9891964822905,1.1285148,2.960000000000001,3.0400000000000027,3.18,2.123333333333333,1.1285148,2.1499999999999986,1.1285148,2.240000000000002,1.1285148,1.9800000000000004,1.1285148,1.8815290645733715,0.9582782309436884,0.0133706279717008,0.9842788434848224,True,0.16264056828736057,0.0004630814663149,0.0007878028518184,0.0430835861363121,0.1673788432463832,0.2972840950258423,0.3411649312602797,0.406585211603671,0.3017841976235849,0.9028478474677166,0.9024748919193196,1.0229965879759777
ARG_001_2001,brooke et. al. 2022,POINT (-65.1122559275333 -27.4264093313781),2,1,1,85812,104580.0,0.8205393,Delta,0.00402,0.0026,0.00442,0.0041533333333333,895.5223880597072,861.5384615384432,791.8552036199094,0.00056,0.00052,0.00058,306.6,303.0,304.2,306.9,304.66,304.9,282.0,278.5,280.25,250.0,17.2,89.3,248.6,0.7353190534461419,0.6740424656589634,0.8578722290204989,0.185785655928604,0.0005533333333333,7.506024096385543,1482.9023493975903,1.0997129628023714,0.9591824548124208,1243.628880712951,4.0798616,3.6000000000000227,2.2399999999999523,3.5,2.050000000000012,4.0798616,2.400000000000034,4.0798616,2.0,4.0798616,1.75,4.0798616,0.5024680198548664,0.77210353820525,0.0357544661539835,5.727830273860065,False,0.18380853628519486,0.0005522076903967,1.763834207376395e-05,2.015705910990856,0.1329553026637484,0.0318765218200553,0.1367231697619442,0.1465107157505566,0.9591824548124208,0.8823828641353758,0.5490382265731075,0.8578722290204989
B1,valenza et. al. 2020,POINT (-62.9795 -17.0815),1,2,2,272652,3803124.369,0.071691581,Fan,0.0016,0.00119,0.0014,0.0015333333333333,1926.2243125000111,4621.848739495798,5535.714285714285,0.00048,0.00037,0.00041,272.1743051,269.0923462,267.3,251.5,246.0,246.8,255.75,248.0,251.04,400.0,40.911,155.44,399.59,0.6322868258698062,1.17021276595745,1.645435244161356,0.5068974975765328,0.00042,3.6507936507936503,170.6942404761905,0.4192421088629854,0.376057243612883,2082.5951027660103,3.4464846,3.081958900000018,5.5,7.75,4.7614350333333375,3.4464846,4.874305100000015,3.4464846,4.699999999999989,3.4464846,4.710000000000008,3.4464846,1.3815338332490397,1.1493617052451295,0.0975524688924529,4.195899535859157,True,0.4197962287287828,0.0001183685393637,3.214550253664319e-05,1.294944582531662,0.0771968734981074,0.0765369108015314,0.108707203040665,0.1148358819929047,0.376057243612883,0.6322868258698062,1.1702127659574495,1.645435244161356
B10,valenza et. al. 2020,POINT (-65.2038 -16.2728),0,3,1,99648,3322367.305,0.029993071,Alluvial Plain,0.0029,0.00812,0.0018,0.0025333333333333,1379.3103448275865,849.7536945812815,3594.444444444444,0.00019,0.00023,0.0005,184.0,180.0,179.0,188.4,181.5,183.4,186.47,180.0,181.47,164.0,68.798,432.547,1002.5,0.354534791762676,0.6115725157906167,0.5734600256761284,0.1387138610715421,0.0003066666666666,8.26086956521739,97.80349239130436,10.729484673761904,4.667362824123404,5656.841073616887,11.282391,4.0,6.900000000000006,6.469999999999999,5.0,11.282391,5.0,11.282391,5.0,11.282391,5.0,11.282391,0.443168489703345,0.5164501783488167,0.0266954950099957,4.239388308892608,False,0.11592891823619605,0.0019493702686879,9.735387911006824e-05,2.111529856231336,0.7694882639557611,0.3174583014458746,0.832401322393562,1.298832355244862,4.667362824123404,0.354534791762676,0.6115725157906167,0.5734600256761284
B12,valenza et. al. 2020,POINT (-65.859 -15.879),2,1,3,54520,3327891.0,0.016382748,Alluvial Plain,0.0044,0.0025,0.00736,0.0053866666666666,1000.0000000000013,2120.0000000000045,1603.2608695652189,0.00031,0.00027,0.00053,219.0,214.6,211.3,217.0,211.7,209.2,203.8,192.0,195.8,173.0,16.0,104.0,250.0,0.7252516969505731,0.8500261824474453,0.9202118305394368,0.3105495709228473,0.0003699999999999,14.558558558558564,44.2776972972973,5.926498143196671,4.211912689386141,1251.2391154098664,4.8231344,4.400000000000006,5.300000000000011,11.800000000000011,7.833333333333333,4.8231344,7.699999999999989,4.8231344,7.800000000000011,4.8231344,8.0,4.8231344,1.6241167356049382,0.5666930677971824,0.0597652927896762,8.208239507437337,True,0.2564983801087199,0.0014140407034845,8.08290376865476e-05,2.6781790377687065,0.2625075563399556,0.2184568586122908,0.3415166411909168,0.4070800085982861,4.211912689386141,0.3513497381425629,0.4198640228876986,0.9202118305394368
